,0,1,2,3,4,5,6,7,8,9,nextAudacc,nextbank,nextfinan
23,2025,PwC,Consulting,Economics,Hong Kong,Analyst,No,Analyst,Analyst,Hong Kong,False,False,False
24,2025 (hopefully),small cpa firm,big 4,pricing stratergy,big4,auditor,big4,auditor,an entrepreneur ,hk,True,False,False
25,2025,dont have idea yet,consultancy,maybe something related with business analytics,hk,maybe auditor or consultant,hk,dont have idea yet,dont have idea yet,hk,False,False,False
26,Next year,HSBC,Bank,Law,HK,Banking ,HK,Consulting firm ,HR,HK,False,False,False
27,2024,"EY, BDO, HSBC, SFC",HSBC,/,HSBC,banking,HSBC,banking,banking,HSBC,False,True,False
28,2025,I have worked with 2 accounting firms,N/A,,Deloitte,Audit,Big 4,,,,False,False,False
29,,,,,,accountant/ primary school teacher,,,,retire,False,False,False
30,2025,,,,,Banking,,Banking,Travelling,,False,True,False
31,2025 (I hope so if i plan not to take the minor. haha),a small audit firm and I am student helper of UST (mainly working in entrepreneurship center),Big4 audit company,something related to programming or statistics,mainly based in Hong Kong ,1. Data analytics (like data analytic team in deloitte) 2. IT related (as i love programming and analysing) 3. audit and assurance,actually I want to migrate to Taiwan/Japan after I had the CPA certificate,"still same as before (not boring one, then it is fine!!)","still same as before (not boring one, then it is fine!!)",Japan/Taiwan!!!,False,False,False
32,2025 ,"Big4, recruitment consultancy firm, securities company ","Lvmh, luxury brand ",Also in business field. ,Hong Kong ,Marketing ,Hong Kong ,Accounting or management related ,Accounting or management related ,Hong Kong,True,False,False
33,2025,Quite a lot,HKSAR,Sociology or political science,HKSAR,I prefer studying ,Somewhere not in HK,I don’t want to work :(,I have no idea,Somewhere not in Hong Kong,False,False,False
34,June 2024,Big 4 and band,PwC,No,Hong Kong,Risk Assurance ,Bank,Banker,Banker,Bank,False,True,False
35,In one year,EY,Bank,Finance ,Hk,Big 4/ bank,HK,Bank,Not so sure ,Not so sure,False,True,False
36,in two years,asset management / consulting,N/A,N/A,Hong Kong,Research Analyst in investment firm,Hong Kong,Portfolio Manager,Portfolio Manager,Korea,False,False,False
37,Dec 2024,I’ve worked for HSBC in the Product Control Division,Goldman sachs in the Controllers Divison,MBA!,Want a Return Offer from Goldman this year,Gain more experience in Controllers,Ideally stay at Goldman,Try for more divisions and find the specific one that I like,Managerial,Rise up to the Management level at Goldman!,False,False,False
38,Somewhere in 2025,A brokerage firm,No jobs yet,MBA,Consulting firm or accounting firm,Financial or management onsultant ,In a large bank,Financial or management onsultant ,Financial manager,Hedge funds,False,False,True
39,just at the end of year 4,Banking,,,Banking,internship,Audit,Banking,find enjoyable lifestyle,Government,False,True,False
40,2025,Accounting firms,Accounting firms,Information Systems,Hong Kong,IT audit,IT audit,IT audit,Not sure,Not sure,True,False,False
41,2025,Pwc,Accounting and finance ,No,Hk,Accounting ,Hk,Accounting ,Accounting ,Hk,True,False,False
42,2025,Banking,Marketing ,Maybe the thing I interested,Marketing,Go travel,Maybe Finance or marketing,Travel around,Travel around,Pilot,False,False,False
43,ASAP,Accounting firm,military,civil,hk,ref,hk,try different jobs,stable income job,world,False,False,False
44,2025 / 2026,Mazars ,Big 4/other audit firms,/,HK,Audit/accountant ,HK,Audit/accountant/teacher,No idea,No idea,True,False,False
45,2025,Accounting firm,Accounting firm,MBA,Government or institutions ,Accountant,A big 4 accounting firm,Auditing,A CPA,A smaller accounting firm or finance industry,True,False,False
46,Hopefully next year,-,-,,Hong Kong ,Any job,Just want a job :(,-,-,-,False,False,False
47,2026,Small CPA firm,Any one of Big4,Law,"I haven’t graduated next year, but I still want to get in Big4 to work as an intern.",Accounting intern,Big4,Senior manager in Big4,Boss,Open up my own firm,True,False,False
48,2024 Dec,"HSBC, Deloitte",/,/,hong kong,still figuring it out,paris,not sure,not sure,paris,False,False,False
49,This semester,KPMG,KPMG,No,Hong Kong,Accountant,Australia,Accountant,Accountant,Australia,True,False,False
50,June 2024,Investment Banks,JP Morgan Private Bank,N/A,JP Morgan ,Private Bank,Blackrock,Alternative Investment,Own business,Self employed,False,False,False
51,Jun 2025 ,Auditing of small firm,HSBC,Finance,Hong Kong Heng Seng Bank,Auditing,Hong Kong,Government job,Government job,Hong Kong,False,False,False
52,2025,A local CPA firm.,,,Hong Kong,Digital accounting ,Hong Kong,Audit,Consultant ,One of the Europe countries,True,False,False
53,spring 2025,kpmg,bank,/,hsbc,banking,big4,auditor,internal audit,/,True,False,False
54,2025,"KPMG, Wing On Professional Group, Preface AI, Maxim's Group",Would like to try commercial,Finance,Hong Kong,Commercial accountant,KPMG,Audit,Audit/IT Audit/Accountant/Business Analysts,KPMG/Commercial Firms/Investment Bank,True,False,False
55,6/2025,"Holding company, investment company",Accounting company,,One of the big 4 companies,Accounting related,One of the big 4 companies,Accounting related,Accounting related,One of the big 4 companies or somewhere else if too stressful,True,False,False
56,finish taking course,KPMG,KPMG,NO,HK,Audit,HK,Audit,Acct,TW,True,False,False
57,2025,Maples fund service limited ,bloomberg,,commercial banking,commercial banking,investment banking,investment banking,investment banking,investment banking,False,True,False
58,2025,audit,audit,psychology,hk,something i am interested in ,hk,something i am interested in ,something i am interested in ,hk,False,False,False
59,6/2025,Accounting firm ,N/A,N/A,Hong Kong,Accounting associate,Hong Kong,Assistant Accounting Manager,Senior Accounting Manager,Hong Kong,True,False,False
60,2025,"insurance fir,",acct firm,hkust,pwc,acct job,pwc,acct job/auditing job,investment,bank,True,False,False
61,2025,Cheng&Cheng ,big 4 ,,Hong Kong ,tax or audit ,Singapore ,finance related job,retire ,Europe,False,False,True
62,2025,Local accounting firms ,Big4,Finance,Hong Kong,Big4,Big4,Audit,Banking,England,True,False,False
63,July 2025,MTR,,,Big 4,Audit associate,Investment Banks like JP Morgan,Accounting Analyst,,,True,False,False
64,Yes,EY BOC,N/A,UK,HK,Sales and Trading,HK,Sales and Trading,consulting or Sales and Trading,HK,False,False,False
65,After this semester ,Audit firm ,Commercial company ,Communication ,Hong Kong ,Management trainee ,Hong Kong ,Manager in one of the commercial company ,Have my own startup company ,Hong Kong,False,False,False
66,year 2025,"accounting firm, company secretarial firm, wealth management firm",Government,NA,Hong Kong,Government civil work,Hong Kong ,Executive officer or Administrative Officer,Executive officer or Administrative Officer,Hong Kong,False,False,False
67,2025,/,PwC,information system,Hong Kong,Audit,not yet designed,Senior,Manager,not yet designed,False,False,False
68,Finish taking courses,,Insurance companies or bank companies ,actuarial science,Bank,Actuary ,Insurance companies ,Actuary,Actuary,Insurance company,False,False,False
69,2025,kpmg,hsbc,management ,bank,bank,bank,bank ,bank ,bank,False,True,False
70,2025 spring,"kpmg, lululemon",MTR,Sports Science,Financial ,business analyst,hk,government officers,gov officer,HK,False,False,False
71,2025,local CPA firm and authority internship,Tech companies,N/A,Tech companies,Information system related internship,Big Four accounting firms,accounting related/analyst,management related,Authority,True,False,False
72,2024 Spring,"HSBC, KPMG",Deloitte,,hong kong,Tech Consulting,Canada,tech Consultant,Retire,Canada,False,False,False
73,2025,Cpa,Cpa,Finance,Hk,Financial analysts ,Hk,Consultant ,Consultant,Australia,False,False,False
74,2025,Finance and Audit firm,Banks,/,Hong Kong,Private Banking,Hong Kong,Start up in arts,Start up in arts,Hong Kong,False,False,False
75,Jun 2026,Hang Seng Bank,N/A,Accounting and Finance,I want to work at bank ,Management trainee at bank,Large banking and financial services organisation,The job related to digital banking,The job related to digital banking,Large banking and financial services organisation,False,True,False
76,2025,"Majoris Group, MayerBrown",PwC ,MBA ,Internship in big 4,Auditing (Maybe?),Big 4,Audit,Haven’t really thought about it,Haven’t really thought about it,True,False,False
77,2025,intern in accounting and finance department in a normal company,NA,NA,Big 4 or the accounting or finance department in other companies ,accountant or auditor,Big 4 or the accounting or finance department in other companies ,accountant or auditor,not sure,not sure,True,False,False
78,2025,NGO,Big 4,,PwC,Student Internship,Hong Kong,Accountant,Accountant,Hong Kong,True,False,False
79,June 2025 ,KPMG,Big4,PDGE,HK,Accounting related,HK,Accounting related,Accounting related,HK,True,False,False
80,2025,Big4,Conglomerate and Banking,Business,,,,,,,False,False,False
81,Spring 2025,"PwC, Wing On CPA & Associates","Big 4, Trading firms ,banks","UST, Wharton, LSE",Hong Kong,Don't know,Don't know,Don't know ,Don't know ,Don't know,False,False,False
82,2025 spring,"KPMG, PwC",No,No,HK,Audit,HK,Audit,Not sure,Not sure,True,False,False
83,2025,UST and an accounting firm,AIA,User research,Hong Kong ,UI UX ,Hong Kong,UI UX ,UI UX ,Remotely,False,False,False
84,2025 Spring,Accounting Firms,Big 4,Finance,Companies in Hong Kong,Accountant,Companies in Hong Kong,Auditor,Uncertain,Companies in Hong Kong,True,False,False
85,Finish taking courses,Local accounting firm,Government,Coding related subject,Government,Job with high stability,Job with high stability,Job with high stability,Job with high stability,Job with high stability,False,False,False
86,This semester,HSBC CICC,HSBC,No plan,HSBC,banking,HSBC,Banking,Banking,HSBC,False,True,False
87,2025 ,Accounting and private equity,Big4,No,Big4 accounting firms ,External auditor,Hong Kong,Manager,Accounting related work,Hong Kong,False,False,False
88,2025,Big 4,Big 4,No,Big 4,External Auditor,Hong Kong,External Auditor,Accounting firm,Hong Kong,True,False,False
89,2024,KPMG,Auditing,UK,HK,accounting,HK,accounting,Accounting,HK,True,False,False
90,2025,None,Financial industry ,I don't plan it yet,Hong Kong,Financial industry ,"It does not matter to me, Hong Kong is fine",Financial industry ,"I will see it after a few years, probably still the same as above ",I didn't have that planning yet,False,False,True
91,2025,"KPMG, SHINEWING",Bank,Finance,Hong Kong,Bank,Hong Kong,Bank,Bank/start my own business,Hong Kong,False,True,False
92,"May, 2025",CSDC,NA,Information Systems,NA,NA,Hong Kong,Industry Research,Consultant,Hong Kong,False,False,False
93,finish taking courses,IT company,Gaming industry,Business,HK,BA,Mainland China,BA,Investment,Mainland China,False,False,False
94,2025,Deloitte,,,Outside HK haha,Banker,NYC ,Still a banker,no idea as well,idk,False,True,False
95,2025,,,,Hong Kong,Financial or accounting related,Hong Kong ,,,,False,False,False
96,2025,small-scale CPA Company,Big four accounting firms ,Finance or Management,Accounting industry ,Accounting Intern,Finance/Banking industry ,Team leader in a financial firm or a bank,Civil servant,Government,False,True,True
97,2025,Bookstore manager,N/A,N/A,Hong Kong,Business related,Hong Kong,Business related,Business related / self employed,Hong Kong,False,False,False
98,Next year,Big 4 auditing firm,Banking,MSc Accounting,Hong Kong,Apply for postgraduate schools,To obtain a CPA license,Accounting or auditing,Banking,Hong Kong,True,False,False
99,may 2024,"EY, HKEX, family offices",Deloitte ,PGDE,"PwC Consulting, Hospital Authority, Airport Authority Hong Kong","PwC Consulting, HA Finance Associate",Big 4/HKEX,Assistant manager of finance role,Senior Manager/Team Head of consultancy ,Big 4/HKEX,True,False,True
100,2025 ,Financial institution ,No ,the US ,Big 4 ,Auditor ,-,-,- ,-,False,False,False
101,2025,CPA Firm,Big 4,Finance ,HK,Auditor,HK,Auditor Manager ,Compliance/Financial Controller/Senior Audit Manager ,HK,True,False,False
102,next year,spotify,big 4,study for the cpa exam,Big 4,Big 4,IRD,IRD,Open a business by myself ,Open a business by myself,False,False,False
103,2024 Jun,E-business,,,Hong Kong,Business Analyst,Hong Kong,Business Analyst,Animator,Hong Kong,False,False,False
104,2025,Deloitte Touche Tohmatsu and EQC Compliance Advisory Limited,N/A,N/A,Consulting Firms,Consultant Intern,MBB (consulting firms),Management consultant,something I am really interested in,Companies in UK,False,False,False
105,finish taking courses,"4As, Big4, Custody, Insurance ",Bank,/,HK,Bank,HK,Bank,Bank,HK,False,True,False
106,2025,Accounting firm,Big 4,No,Hong Kong,Accountant ,Hong Kong,Accountant ,Not yet plan,Not sure,True,False,False
107,Jul 2025,,,,,,,,,,False,False,False
108,2026,ibank or PE (value investing) or Family Office,UBS,Finance,UBS,Global Market,JPM,banking/consulting,RM and FM,blackrock,False,True,False
109,December 2025,Hang Seng Bank Limited,Banking and finance,Risk management ,Yes,BNP student placement,Hong Kong,Banking and stable job,Banking and job with high salary ,Australia,False,True,False
110,finish taking course,"audit, AM, insurance, corporate banking",n/a,finance,big 4,IT audit,bank,PB,PB,bank,False,False,False
111,2025 summer,Industrial Securities,any consulting company,finance,Hong Kong,consulting job,Hong Kong,auditing,consulting,Mainland China,True,False,False
112,Fall 2024,HSBC,N/A,Nursing,Hoping that I could get admitted to nursing school ,Start with a new field of study,"Hospital, maybe",Being able to find my own purpose and joy of life ,"I've got so much on hand that I could hardly handle, still wait and see",I don't plan that long,False,False,False
113,2025,"CCBA, HKMA",Banks or Regulators or Big4,No plan,Banks or Regulators,Compliance or Risk Management or Accounting ,Banks or Regulators,Compliance or Risk Management or Accounting ,Compliance or Risk Management or Accounting ,Banks or Regulators,True,False,False
114,June 2025,KPMG,Bank,No plan,HK,Intern,Bank,Bank,Bank,Bank,False,True,False
115,2025,KPMG,Accounting,No plan,HK,PSSSIP,HK government ,EO,EO,HK government,False,False,False
116,2025,CPA firm,Probably big4,Course related to accounting ,Big4,Junior accountant/audit,Big4,Senior audit,Senior II,Big4,True,False,False
117,2025,Marketing ,Marketing,,Hong Kong ,Influencer marketing ,Hong Kong ,Influencer management ,Artist management ,South Korea,False,False,False
118,2025 spring ,Audit firm,Audit firm,I didn’t plan to study graduate school yet,Hk,Audit,Hk,Not sure,Not sure,Not sure,False,False,False
119,finish taking courses,audit firms,audit firms,MBA,Audit firms ,Auditing ,Financial industry/gov department ,Accountant ,Didn’t plan ,Didn’t plan,True,False,False
120,2025,"Accounting firm, own business ",No,Nutrition actually…,Hk ,Want to be an entrepreneur ,Hk,Entrepreneur ,Same,Same,False,False,False
121,"Next year, 2025",,,,,,,,,,False,False,False
